"Source:","C:\Users\stefan\Develop\ESP\WeatherStation\Kicad\WeatherStation.sch"
"Date:","08.08.2019 16:37:15"
"Tool:","Eeschema (5.1.2)-2"
"Component Count:","53"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"BT1","18650","","~","",""
"C1","10µ","","~","",""
"C2","1µF","","~","",""
"C3","10µ","","~","",""
"C4","100n","","~","",""
"C5","10µ","","~","",""
"C6","100n","","~","",""
"C7","47µ","","~","",""
"D1","BAT42","","~","",""
"D2","BAT42","","~","",""
"D3","BAT42","","~","",""
"D4","BAT42","","~","",""
"D5","1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","",""
"J1","Conn_01x02","","~","",""
"J2","Conn_01x04","","~","",""
"J3","Screw_Terminal_01x02","","~","",""
"J4","Conn_01x04_Male","","~","",""
"J5","Conn_01x02_Male","","~","",""
"J6","Conn_01x04_Male","","~","",""
"J7","Conn_01x02_Male","","~","",""
"J8","Screw_Terminal_01x04","","~","",""
"J9","Screw_Terminal_01x02","","~","",""
"J10","Screw_Terminal_01x04","","~","",""
"J11","Screw_Terminal_01x02","","~","",""
"J12","Conn_01x02_Male","","~","",""
"J13","Conn_01x02_Female","","~","",""
"J14","Conn_01x03_Male","","~","",""
"J15","Conn_01x03_Female","","~","",""
"J16","Conn_01x02_Male","","~","",""
"J17","Conn_01x02_Female","","~","",""
"J18","Mess","","~","",""
"J19","Prog","","~","",""
"J20","Prog","","~","",""
"Q1","IRLML2244","Package_TO_SOT_SMD:SOT-23","https://www.infineon.com/dgdl/irlml6402pbf.pdf?fileId=5546d462533600a401535668d5c2263c","",""
"Q2","BC548","Package_TO_SOT_THT:TO-92_Inline","http://www.fairchildsemi.com/ds/BC/BC547.pdf","",""
"Q3","BC548","Package_TO_SOT_THT:TO-92_Inline","http://www.fairchildsemi.com/ds/BC/BC547.pdf","",""
"R1","1M","","~","",""
"R2","120k","","~","",""
"R3","10K","","~","",""
"R4","470k","","~","",""
"R5","1M","","~","",""
"R6","10K","","~","",""
"R7","R","","~","",""
"R8","R","","~","",""
"SW1","Reset","","~","",""
"SW2","Mode","","~","",""
"U1","BME280","","","",""
"U2","BH1750","","","",""
"U3","MPPT_StepDown","","","",""
"U4","Rain_Sensor","","","",""
"U5","LiIonCharger","","","",""
"U6","ESP-WROOM-32","","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32_datasheet_en.pdf","",""
"U7","MIC5501-3.0YM5","Package_TO_SOT_SMD:SOT-23-5","http://ww1.microchip.com/downloads/en/DeviceDoc/MIC550X.pdf","",""
